"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ACOUSTICS','AGRICULTURAL ECONOMICS & POLICY','AGRICULTURAL ENGINEERING','AGRICULTURE, DAIRY & ANIMAL SCIENCE','AGRICULTURE, MULTIDISCIPLINARY','AGRONOMY','AUTOMATION & CONTROL SYSTEMS','BEHAVIORAL SCIENCES','BIOCHEMICAL RESEARCH METHODS','BIOCHEMISTRY & MOLECULAR BIOLOGY','BIODIVERSITY CONSERVATION','BIOLOGY','BIOPHYSICS','BIOTECHNOLOGY & APPLIED MICROBIOLOGY','BUSINESS','BUSINESS, FINANCE','COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE','COMPUTER SCIENCE, CYBERNETICS','COMPUTER SCIENCE, HARDWARE & ARCHITECTURE','COMPUTER SCIENCE, INFORMATION SYSTEMS','COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS','COMPUTER SCIENCE, SOFTWARE ENGINEERING','COMPUTER SCIENCE, THEORY & METHODS','CONSTRUCTION & BUILDING TECHNOLOGY','ECOLOGY','ECONOMICS','ENERGY & FUELS','ENGINEERING, AEROSPACE','ENGINEERING, BIOMEDICAL','ENGINEERING, CHEMICAL','ENGINEERING, CIVIL','ENGINEERING, ELECTRICAL & ELECTRONIC','ENGINEERING, ENVIRONMENTAL','ENGINEERING, GEOLOGICAL','ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MARINE','ENGINEERING, MECHANICAL','ENGINEERING, MULTIDISCIPLINARY','ENGINEERING, OCEAN','ENGINEERING, PETROLEUM','ENTOMOLOGY','MANAGEMENT','MARINE & FRESHWATER BIOLOGY','MATERIALS SCIENCE, BIOMATERIALS','MATERIALS SCIENCE, CERAMICS','MATERIALS SCIENCE, CHARACTERIZATION & TESTING','MATERIALS SCIENCE, COATINGS & FILMS','MATERIALS SCIENCE, COMPOSITES','MATERIALS SCIENCE, MULTIDISCIPLINARY','MATERIALS SCIENCE, PAPER & WOOD','MATERIALS SCIENCE, TEXTILES','MATHEMATICS, APPLIED','MATHEMATICS, INTERDISCIPLINARY APPLICATIONS','MECHANICS','METALLURGY & METALLURGICAL ENGINEERING','MULTIDISCIPLINARY SCIENCES','OPERATIONS RESEARCH & MANAGEMENT SCIENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1902,Boundary Value Problems,"2,424",1.794,0.004090
1902,Signal Image and Video Processing,"2,225",1.794,0.003660
1904,CANADIAN JOURNAL OF MICROBIOLOGY,"6,422",1.793,0.002870
1904,POWDER METALLURGY,"1,342",1.793,0.000840
1906,CRYPTOGAMIE ALGOLOGIE,532,1.791,0.000610
1907,JOURNAL OF ELECTRONIC PACKAGING,"1,472",1.787,0.001380
1907,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,"13,841",1.787,0.005120
1909,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,528,1.786,0.000590
1909,JOURNAL OF VIROLOGICAL METHODS,"7,558",1.786,0.008020
1909,SOFTWARE-PRACTICE & EXPERIENCE,"1,878",1.786,0.001590
1912,MATHEMATICS OF OPERATIONS RESEARCH,"3,870",1.783,0.006180
1912,WETLANDS,"4,883",1.783,0.004090
1914,BEHAVIOUR & INFORMATION TECHNOLOGY,"2,572",1.781,0.002120
1914,Genetic Programming and Evolvable Machines,378,1.781,0.000400
1916,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"47,141",1.780,0.024090
1917,DOMESTIC ANIMAL ENDOCRINOLOGY,"2,195",1.778,0.001680
1917,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,"2,136",1.778,0.001300
1917,PHILOSOPHICAL MAGAZINE,"14,220",1.778,0.006210
1920,CYTOTECHNOLOGY,"2,784",1.777,0.002950
1921,ACM Transactions on Autonomous and Adaptive Systems,464,1.775,0.000720
1921,China Agricultural Economic Review,540,1.775,0.000620
1923,GEOINFORMATICA,767,1.774,0.000950
1923,JOURNAL OF ELECTRONIC MATERIALS,"12,786",1.774,0.013430
1923,Journal of Wine Economics,436,1.774,0.000390
1923,PROTEIN ENGINEERING DESIGN & SELECTION,"4,666",1.774,0.002800
1927,Cardiovascular Engineering and Technology,504,1.771,0.001100
1927,INTERNATIONAL JOURNAL OF VEHICLE DESIGN,816,1.771,0.000690
1929,JOURNAL OF SCHEDULING,"1,383",1.765,0.001730
1929,Journal of Infrared Millimeter and Terahertz Waves,"1,770",1.765,0.003170
1931,International Journal of Applied Ceramic Technology,"2,891",1.762,0.002680
1932,JOURNAL OF AEROSPACE ENGINEERING,"1,942",1.761,0.002300
1932,NEW CARBON MATERIALS,"1,145",1.761,0.001090
1934,JOURNAL OF ULTRASOUND IN MEDICINE,"6,931",1.759,0.008350
1934,Operational Research,414,1.759,0.000660
1934,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,"12,537",1.759,0.009910
1937,Energy Sources Part B-Economics Planning and Policy,959,1.758,0.001140
1938,SOILS AND FOUNDATIONS,"5,845",1.756,0.004440
1939,Journal of the Brazilian Society of Mechanical Sciences and Engineering,"3,351",1.755,0.004140
1939,REVISTA DE CHIMIE,"5,045",1.755,0.002190
1941,KYBERNETES,"1,477",1.754,0.001090
1942,JOURNAL OF POROUS MEDIA,"1,084",1.752,0.000940
1943,BMC BIOCHEMISTRY,843,1.750,0.000560
1943,PHOTONIC NETWORK COMMUNICATIONS,626,1.750,0.001090
1945,ADVANCES IN COMPUTATIONAL MATHEMATICS,"2,159",1.748,0.003820
1946,Frontiers of Materials Science,722,1.747,0.000910
1946,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,"8,705",1.747,0.006720
1948,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,945,1.746,0.001170
1949,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,"2,459",1.743,0.006090
1950,IET Optoelectronics,464,1.742,0.000710
1950,International Journal on Semantic Web and Information Systems,397,1.742,0.000420
1952,BEHAVIOURAL PHARMACOLOGY,"2,595",1.741,0.002380
1952,Journal of Fixed Point Theory and Applications,958,1.741,0.003690
1954,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,"10,546",1.739,0.007220
1954,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,148,1.739,0.000230
1956,DISPLAYS,"1,160",1.738,0.000860
1956,MATERIALS TECHNOLOGY,"1,251",1.738,0.001480
1958,ATOMIZATION AND SPRAYS,"1,524",1.737,0.001330
1958,MEDICAL ENGINEERING & PHYSICS,"6,049",1.737,0.006140
1958,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,"4,687",1.737,0.005350
1961,Digital Investigation,"1,142",1.736,0.000880
1961,Marine and Coastal Fisheries,808,1.736,0.001480
1963,JOURNAL OF REPRODUCTION AND DEVELOPMENT,"2,099",1.735,0.001960
1964,JOURNAL OF COMMUNICATIONS AND NETWORKS,"1,011",1.733,0.001500
1965,International Journal of Agricultural and Biological Engineering,"1,470",1.731,0.002060
1966,COMBUSTION SCIENCE AND TECHNOLOGY,"5,535",1.730,0.003300
1966,FOLIA MICROBIOLOGICA,"2,075",1.730,0.001610
1968,BIOMEDICAL CHROMATOGRAPHY,"4,598",1.728,0.004890
1968,JOURNAL OF HYDROINFORMATICS,"1,608",1.728,0.001730
1968,PHYSIOLOGICAL ENTOMOLOGY,"1,961",1.728,0.001170
1968,POLAR BIOLOGY,"6,159",1.728,0.006300
1972,ACM Journal on Computing and Cultural Heritage,273,1.727,0.000310
1973,JOURNAL OF SEA RESEARCH,"3,570",1.725,0.004150
1974,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,"4,965",1.724,0.002780
1975,HUMAN DIMENSIONS OF WILDLIFE,"1,336",1.723,0.001130
1976,BEHAVIORAL MEDICINE,796,1.721,0.001160
1977,Cellular and Molecular Bioengineering,922,1.720,0.002020
1977,Journal of Causal Inference,217,1.720,0.001700
1979,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,"2,975",1.718,0.004070
1979,SEPARATION SCIENCE AND TECHNOLOGY,"7,548",1.718,0.004620
1981,International Journal of Computational Methods,"1,081",1.716,0.001540
1981,MARINE GEORESOURCES & GEOTECHNOLOGY,"1,016",1.716,0.001360
1983,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,"7,703",1.715,0.012580
1984,BEHAVIORAL NEUROSCIENCE,"6,533",1.714,0.003570
1984,Earthquakes and Structures,"1,196",1.714,0.002260
1984,Journal of Grey System,710,1.714,0.000530
1987,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,"2,109",1.713,0.001940
1987,International Journal of Minerals Metallurgy and Materials,"2,313",1.713,0.002710
1989,Analysis & PDE,884,1.712,0.008160
1990,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,"5,213",1.711,0.007100
1990,BIOMETRICS,"21,788",1.711,0.011750
1992,AQUATIC BOTANY,"5,292",1.710,0.002580
1993,MEDITERRANEAN MARINE SCIENCE,"1,292",1.709,0.001840
1994,JOURNAL OF MICROBIOLOGICAL METHODS,"9,980",1.707,0.007580
1995,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,"1,200",1.706,0.001380
1995,GOLD BULLETIN,"1,273",1.706,0.000430
1997,Scandinavian Actuarial Journal,797,1.705,0.002080
1998,Aquaculture Environment Interactions,796,1.704,0.001310
1999,JOURNAL OF FOOD PROCESS ENGINEERING,"2,395",1.703,0.002490
2000,Cellular Reprogramming,687,1.702,0.000950
2001,JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,733,1.701,0.000500
2002,Livestock Science,"6,896",1.700,0.007150
2002,Navigation-Journal of the Institute of Navigation,741,1.700,0.000860
2004,Archives of Control Sciences,263,1.697,0.000300
2005,Computational Particle Mechanics,480,1.696,0.001690
2005,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,"5,805",1.696,0.003480
2005,PLANT PRODUCTION SCIENCE,"1,524",1.696,0.001050
2008,HEAT TRANSFER ENGINEERING,"3,610",1.693,0.002480
2009,Green Materials,214,1.692,0.000330
2009,IET Signal Processing,"1,469",1.692,0.002610
2009,International Transactions on Electrical Energy Systems,"1,713",1.692,0.002440
2012,ARCHIVES OF ANIMAL NUTRITION,"1,177",1.691,0.001020
2013,IEEE Embedded Systems Letters,329,1.689,0.000630
2014,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,"6,543",1.687,0.004120
2015,JOURNAL OF THE ACM,"6,648",1.686,0.005070
2016,JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,399,1.685,0.000660
2017,AGRONOMY JOURNAL,"15,385",1.683,0.007490
2018,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,"3,169",1.681,0.004550
2018,ENVIRONMENTAL ENGINEERING SCIENCE,"2,805",1.681,0.002460
2020,CELLULAR POLYMERS,306,1.680,0.000190
2020,Frontiers of Structural and Civil Engineering,707,1.680,0.000890
2022,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,"1,324",1.675,0.001300
2023,BIOLOGICAL AGRICULTURE & HORTICULTURE,591,1.674,0.000430
2024,Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,819,1.672,0.000600
2024,Green Processing and Synthesis,542,1.672,0.000570
2026,FIRE TECHNOLOGY,"1,827",1.671,0.002240
2026,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,"1,631",1.671,0.001180
2026,JOURNAL OF MASS SPECTROMETRY,"5,053",1.671,0.003620
2026,Plant Signaling & Behavior,"8,071",1.671,0.007550
2030,JOURNAL OF ADVANCED TRANSPORTATION,"1,904",1.670,0.003620
2031,Advances in Applied Ceramics,"1,195",1.669,0.001420
2031,WILDLIFE RESEARCH,"2,811",1.669,0.002350
2033,Fashion and Textiles,237,1.667,0.000300
2033,Fire Ecology,712,1.667,0.000790
2033,INSECT SYSTEMATICS & EVOLUTION,401,1.667,0.000530
2033,Natural Hazards Review,"1,304",1.667,0.001080
2037,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,"5,861",1.664,0.005610
2037,IET Communications,"3,399",1.664,0.004890
2039,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,"3,850",1.662,0.002040
2039,JOURNAL OF FOOD BIOCHEMISTRY,"2,413",1.662,0.001810
2039,PLANT BREEDING,"3,672",1.662,0.002490
2042,Journal of Computational and Nonlinear Dynamics,"1,853",1.661,0.003330
2043,ANIMAL REPRODUCTION SCIENCE,"8,015",1.660,0.006240
2043,REAL-TIME SYSTEMS,782,1.660,0.000700
2043,SURVEY REVIEW,752,1.660,0.000910
2043,Turkish Journal of Agriculture and Forestry,"1,616",1.660,0.001470
2047,Numerical Mathematics-Theory Methods and Applications,408,1.659,0.001080
2048,BMC MOLECULAR BIOLOGY,"2,016",1.658,0.000960
2049,PHYSICS AND CHEMISTRY OF MINERALS,"3,805",1.657,0.002500
2050,Spatial Statistics,661,1.656,0.003370
2051,International Agrophysics,"1,281",1.655,0.001130
2052,JOURNAL OF SURFACTANTS AND DETERGENTS,"2,327",1.654,0.001760
2053,ACM Journal on Emerging Technologies in Computing Systems,555,1.652,0.001360
2053,INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,514,1.652,0.000810
2053,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,"9,887",1.652,0.011450
2056,MARINE MAMMAL SCIENCE,"3,613",1.651,0.002990
2057,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,"1,111",1.650,0.001490
2057,Materials Express,775,1.650,0.000990
2059,MATHEMATICAL BIOSCIENCES,"5,742",1.649,0.004220
2059,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,"2,333",1.649,0.003060
2061,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,"1,250",1.648,0.001420
2061,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,"2,532",1.648,0.003950
2063,Landscape and Ecological Engineering,465,1.647,0.000420
2064,JOURNAL OF BIOSCIENCES,"2,782",1.645,0.002060
2064,Journal of the Society for Information Display,"1,263",1.645,0.001600
2066,Earthquake Engineering and Engineering Vibration,"1,510",1.642,0.001450
2066,Ecological Processes,535,1.642,0.000790
2066,Mathematical Modelling of Natural Phenomena,854,1.642,0.001420
2069,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,"3,510",1.641,0.001770
2069,REPRODUCTION IN DOMESTIC ANIMALS,"4,841",1.641,0.004910
2071,Arctic Science,173,1.640,0.000620
2072,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,"2,150",1.638,0.001850
2072,WATER SCIENCE AND TECHNOLOGY,"20,937",1.638,0.009930
2074,Agroecology and Sustainable Food Systems,641,1.636,0.001360
2075,International Journal of Material Forming,"1,318",1.634,0.001240
2076,JOURNAL OF CHEMOMETRICS,"3,563",1.633,0.002450
2077,BIOMETRIKA,"21,597",1.632,0.012290
2077,JOURNAL OF CRYSTAL GROWTH,"25,218",1.632,0.012120
2079,ACM Transactions on Interactive Intelligent Systems,560,1.630,0.001270
2079,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,"1,628",1.630,0.000880
2081,SCIENTIFIC AMERICAN,"6,539",1.629,0.003260
2082,JOURNAL OF DAIRY RESEARCH,"3,287",1.628,0.001670
2083,AI MAGAZINE,"1,653",1.627,0.001970
2083,IEEE COMPUTER GRAPHICS AND APPLICATIONS,"2,518",1.627,0.001940
2085,IEEE TRANSACTIONS ON MAGNETICS,"25,292",1.626,0.020640
2085,MATHEMATICAL METHODS IN THE APPLIED SCIENCES,"5,470",1.626,0.013270
2087,SCIENTIA AGRICOLA,"2,640",1.625,0.002060
2088,CLINICAL BIOMECHANICS,"8,450",1.624,0.007280
2088,JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,"1,071",1.624,0.000590
2090,International Journal of Low-Carbon Technologies,711,1.622,0.000840
2090,JOURNAL OF PLASTIC FILM & SHEETING,390,1.622,0.000200
2092,Environmental Geotechnics,376,1.621,0.000680
2093,MATHEMATICS AND COMPUTERS IN SIMULATION,"3,955",1.620,0.003640
2094,PARTICULATE SCIENCE AND TECHNOLOGY,"1,334",1.619,0.001420
2094,Tropical Conservation Science,"1,012",1.619,0.002010
2096,JOURNAL OF APPLIED BIOMECHANICS,"2,106",1.617,0.002710
2097,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,"3,123",1.616,0.001530
2098,EUPHYTICA,"10,875",1.614,0.007110
2098,SYSTEMATIC AND APPLIED ACAROLOGY,"1,164",1.614,0.002390
2100,CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,"2,857",1.613,0.002900
2100,Surface Topography-Metrology and Properties,502,1.613,0.001320
2102,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,"1,124",1.608,0.000840
2103,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,742,1.606,0.000750
2104,MACHINE VISION AND APPLICATIONS,"2,029",1.605,0.002890
2105,Frontiers of Information Technology & Electronic Engineering,697,1.604,0.001670
2106,CLEAN-Soil Air Water,"3,263",1.603,0.002980
2106,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,908,1.603,0.001330
2108,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,728,1.602,0.001350
2109,ACM TRANSACTIONS ON COMPUTER SYSTEMS,"1,192",1.600,0.000810
2109,INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,"2,636",1.600,0.004090
2109,NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,"1,559",1.600,0.001370
2112,ACM Transactions on Internet Technology,686,1.598,0.000980
2113,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,"3,455",1.597,0.004400
2114,CHROMATOGRAPHIA,"4,673",1.596,0.002590
2115,Journal of Ambient Intelligence and Smart Environments,424,1.595,0.000460
2115,Journal of Sensors,"2,559",1.595,0.004430
2117,JOURNAL OF HYDROLOGIC ENGINEERING,"4,982",1.594,0.004640
2117,Physical Communication,"1,119",1.594,0.001400
2119,FLORA,"3,060",1.591,0.002680
2120,Welding in the World,"1,556",1.589,0.001680
2121,Aquatic Biology,"1,300",1.588,0.001130
2121,IEEE Transactions on Computational Intelligence and AI in Games,455,1.588,0.000380
2123,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,"11,185",1.587,0.017620
2124,ENVIRONMENTAL ENTOMOLOGY,"8,246",1.586,0.005670
2125,Journal of Astronomical Telescopes Instruments and Systems,789,1.585,0.002310
2126,ASSEMBLY AUTOMATION,"1,048",1.582,0.000810
2126,EUROPEAN JOURNAL OF PLANT PATHOLOGY,"6,350",1.582,0.006100
2126,JOURNAL OF COMPUTER INFORMATION SYSTEMS,"1,278",1.582,0.000700
2129,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,"1,488",1.581,0.001890
2129,JOURNAL OF FOOD PROTECTION,"12,912",1.581,0.006930
2131,ECOLOGICAL RESEARCH,"3,566",1.580,0.002990
2131,Nature Conservation-Bulgaria,328,1.580,0.000780
2133,IISE Transactions,319,1.579,0.001200
2134,JOURNAL OF ECONOMETRICS,"18,694",1.577,0.019990
2134,JOURNAL OF HEURISTICS,"1,239",1.577,0.001170
2136,ADVANCES IN CEMENT RESEARCH,"1,280",1.576,0.001090
2137,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,"12,534",1.575,0.010040
2137,Journal of Renewable and Sustainable Energy,"3,216",1.575,0.004370
2139,MECHANICS OF TIME-DEPENDENT MATERIALS,731,1.574,0.000750
2139,METHODS OF INFORMATION IN MEDICINE,"1,379",1.574,0.001540
2141,JOURNAL OF TURBULENCE,"1,398",1.573,0.002020
2141,Journal of Applied Analysis and Computation,683,1.573,0.001640
2141,Palaeobiodiversity and Palaeoenvironments,523,1.573,0.001030
2144,Annals of Animal Science,763,1.572,0.001230
2145,Ecological Complexity,"1,815",1.571,0.002220
2145,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,"5,506",1.571,0.002750
2145,ULTRASONIC IMAGING,"1,028",1.571,0.000620
2148,Crop & Pasture Science,"2,117",1.570,0.003370
2148,Plant Pathology Journal,"1,127",1.570,0.001500
2150,PERFORMANCE EVALUATION,"1,434",1.567,0.001430
2151,ACI STRUCTURAL JOURNAL,"6,917",1.566,0.003280
2151,NANO,"1,349",1.566,0.001670
2153,MULTIMEDIA SYSTEMS,776,1.563,0.001080
2153,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,"2,078",1.563,0.001370
2153,WAVE MOTION,"2,520",1.563,0.003300
2156,WEB ECOLOGY,168,1.560,0.000200
2157,Journal of Micro-Nanolithography MEMS and MOEMS,929,1.559,0.001020
2158,AMERICAN JOURNAL OF HUMAN BIOLOGY,"3,287",1.558,0.003640
2158,Computational and Mathematical Organization Theory,447,1.558,0.000330
2158,NONLINEAR PROCESSES IN GEOPHYSICS,"1,911",1.558,0.001960
2161,INFORMATION SYSTEMS MANAGEMENT,888,1.556,0.000490
2161,JOURNAL OF ELECTROSTATICS,"3,220",1.556,0.001910
2161,NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,"1,500",1.556,0.000830
2164,BioScience Trends,"1,038",1.553,0.001930
2164,JOURNAL OF INSECT CONSERVATION,"2,105",1.553,0.002810
2164,Medical Ultrasonography,887,1.553,0.001600
2164,Multisensory Research,402,1.553,0.001370
2168,Austral Entomology,377,1.552,0.001290
2169,AUSTRAL ECOLOGY,"3,992",1.551,0.003100
2169,SIAM JOURNAL ON APPLIED MATHEMATICS,"6,970",1.551,0.007140
2171,JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,878,1.550,0.000560
2172,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,721,1.549,0.000860
2173,EXPERT SYSTEMS,785,1.546,0.000840
2174,GRASS AND FORAGE SCIENCE,"2,116",1.544,0.001950
2174,Journal of Thermal Science and Engineering Applications,818,1.544,0.001230
2174,PROPELLANTS EXPLOSIVES PYROTECHNICS,"3,396",1.544,0.002750
2177,CHEMICAL ENGINEERING & TECHNOLOGY,"5,991",1.543,0.004350
2177,PLASTICS RUBBER AND COMPOSITES,997,1.543,0.000560
2179,European Journal of Wood and Wood Products,"1,837",1.542,0.002500
2180,BIOTECHNIQUES,"6,218",1.541,0.003220
2180,INFORMS JOURNAL ON COMPUTING,"1,912",1.541,0.003800
2180,Traitement du Signal,100,1.541,0.000040
2183,EUROPEAN JOURNAL OF CONTROL,"1,345",1.540,0.002000
2183,IEEE Magnetics Letters,656,1.540,0.001890
2185,ADVANCES IN POLYMER TECHNOLOGY,"1,886",1.539,0.001930
2185,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,"1,463",1.539,0.002170
2187,Journal of Photonics for Energy,670,1.538,0.001220
2188,BRITISH POULTRY SCIENCE,"5,434",1.537,0.002160
2189,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,"1,973",1.536,0.001220
2190,ANNALS OF HUMAN BIOLOGY,"2,224",1.535,0.002590
2190,MICROELECTRONICS RELIABILITY,"7,093",1.535,0.007200
2192,ADVANCED NONLINEAR STUDIES,778,1.533,0.003100
2192,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,"2,894",1.533,0.002270
2192,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,676,1.533,0.000660
2195,EXPERIMENTAL AND APPLIED ACAROLOGY,"3,616",1.532,0.003310
2195,Journal of Computational Electronics,"1,433",1.532,0.002350
2197,Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment,664,1.531,0.000820
2198,ACM Transactions on Embedded Computing Systems,"1,396",1.530,0.002510
2199,IMA Journal of Management Mathematics,440,1.529,0.000880
2199,JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,"1,680",1.529,0.001230
2201,ANNALS OF MICROBIOLOGY,"2,831",1.528,0.002990
2201,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,"1,361",1.528,0.001640
2203,BIOLOGICAL BULLETIN,"4,732",1.527,0.001590
2204,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,"3,588",1.526,0.020260
2204,Journal of Plant Diseases and Protection,645,1.526,0.000840
2206,Eksploatacja i Niezawodnosc-Maintenance and Reliability,854,1.525,0.000790
2206,Semiconductors and Semimetals,603,1.525,0.000560
2208,DESIGNS CODES AND CRYPTOGRAPHY,"2,212",1.524,0.008390
2208,Geotechnique Letters,692,1.524,0.002220
2210,CALCOLO,733,1.521,0.002000
2210,International Journal of Micro Air Vehicles,252,1.521,0.000400
2212,OPTIMIZATION,"1,939",1.520,0.005100
2213,ENVIRONMENTAL BIOLOGY OF FISHES,"6,265",1.519,0.003730
2214,MATERIALE PLASTICE,"1,240",1.517,0.000590
2215,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,"13,157",1.516,0.006560
2215,IET Computer Vision,990,1.516,0.001650
2215,Inland Waters,749,1.516,0.001730
2215,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,"5,007",1.516,0.003390
2215,NEW ZEALAND JOURNAL OF ECOLOGY,"1,131",1.516,0.000910
2220,KSCE Journal of Civil Engineering,"3,754",1.515,0.005350
2221,PROTEIN EXPRESSION AND PURIFICATION,"4,912",1.513,0.003630
2222,ENVIRONMENTAL FLUID MECHANICS,"1,185",1.512,0.001910
2222,PATTERN ANALYSIS AND APPLICATIONS,"1,197",1.512,0.001460
2224,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,"7,740",1.511,0.005080
2224,Journal on Multimodal User Interfaces,345,1.511,0.000660
2224,TRIBOLOGY TRANSACTIONS,"3,742",1.511,0.002540
2227,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,"6,051",1.510,0.002730
2227,Arthropod Systematics & Phylogeny,342,1.510,0.000790
2229,COMPTES RENDUS MECANIQUE,"1,632",1.509,0.001850
2229,PLANT ECOLOGY,"5,875",1.509,0.003810
2231,Mobile Information Systems,"1,011",1.508,0.001860
2232,Computers and Concrete,"1,238",1.507,0.001250
2233,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,"1,164",1.506,0.001890
2234,NONLINEARITY,"5,192",1.505,0.014370
2235,BioInvasions Records,485,1.504,0.001050
2236,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,"2,615",1.502,0.004750
2236,Optimization Letters,"1,533",1.502,0.004900
2238,Applicable Analysis and Discrete Mathematics,388,1.500,0.001210
2238,COLORATION TECHNOLOGY,"1,310",1.500,0.000690
2238,International Journal of Peptide Research and Therapeutics,718,1.500,0.000770
2238,Italian Journal of Agronomy,660,1.500,0.000630
2238,Journal of Pipeline Systems Engineering and Practice,420,1.500,0.000670
2243,Silicon,"1,170",1.499,0.001290
2244,JOURNAL OF FISH BIOLOGY,"15,143",1.497,0.009390
2245,Biofuels-UK,"1,129",1.496,0.000940
2246,HIGH ALTITUDE MEDICINE & BIOLOGY,"1,177",1.495,0.001310
